Line #,Key,en Version,ka Translation
108,ka.mongoid.attributes.answer.can_exclude,Can Exclude During Analysis,ანალიზის დროს შეიძლება გამორიცხვა
109,ka.mongoid.attributes.answer.can_exclude_download_header,Can Exclude During Analysis (leave blank to always show answer),ანალიზის დროს შეიძლება გამორიცხვა (დატოვე ცარიელი პასუხის მუდმივად გამოსაჩენად)
110,ka.mongoid.attributes.answer.no_questions,There are no questions on file for this dataset.,ამ მონაცემებისთვის არ არის შეკითხვები
111,ka.mongoid.attributes.answer.sort_order,Sort Order,დახარისხების წყობა
112,ka.mongoid.attributes.answer.shape_name,Name of Shape,რუკის კონტურული ფორმის სახელი
113,ka.mongoid.attributes.group.title,Name,სახელი
114,ka.mongoid.attributes.group.description,Description,აღწერა
115,ka.mongoid.attributes.group.include_in_charts,Include the Description in the Chart Titles?,დიაგრამის დასახელებებში ჩაიწეროს აღწერა?
116,ka.mongoid.attributes.group.codes,Questions in this Group,შეკითხვები ამ ჯგუფში
117,ka.mongoid.attributes.group.parent_id,This Group is a Subgroup of,ეს არის ქვეჯგუფი ჯგუფისა
118,ka.mongoid.attributes.group.sub_group,Subgroup,ქვეჯგუფი
119,ka.mongoid.attributes.weight.code,Question with Weight,შეკითხვა შეწონვით
120,ka.mongoid.attributes.weight.text,Weight Name,შეწონვის სახელწოდება
121,ka.mongoid.attributes.weight.is_default,Is Default Weight?,არის ძირითადი შეწონვა?
122,ka.mongoid.attributes.weight.applies_to_all,Applies to All Questions,მიემართება ყველა შეკითხვას
123,ka.mongoid.attributes.weight.applies_to,Applies To,მიემართება
124,ka.mongoid.attributes.weight.all_questions,All Questions,ყველა შეკითხვა
125,ka.mongoid.attributes.weight.codes,Apply the Weight to the Following Questions,შეწონვა მიემართება შემდეგ შეკითხვებს
126,ka.mongoid.attributes.report.title,Title,სახელწოდება
127,ka.mongoid.attributes.report.file,File,ფაილი
128,ka.mongoid.attributes.report.released_at,Date Released,გამოქვეყნების თარიღი
129,ka.mongoid.attributes.report.language_id,Language,ენა
130,ka.mongoid.attributes.report.summary,Summary,მოკლე შეჯამება
131,ka.mongoid.attributes.time_series.title,Title,სახელწოდება
132,ka.mongoid.attributes.time_series.description,Description,აღწერა
133,ka.mongoid.attributes.time_series.source,Source of Data,მონაცემთა წყარო
134,ka.mongoid.attributes.time_series.source_url,URL to Source,წყაროს URL
135,ka.mongoid.attributes.time_series.public,Make Available to the Public,გავხადოთ საჯაროდ ხელმისაწვდომი
136,ka.mongoid.attributes.time_series.created_at,Date Added to Site,Date Added to Site
137,ka.mongoid.attributes.time_series.datasets,Datasets,მონაცემები
138,ka.mongoid.attributes.time_series.dates,Dates Included,მოიცავს თარიღებს
139,ka.mongoid.attributes.time_series.category_ids,Categories,კატეგორიები
140,ka.mongoid.attributes.time_series.permalink,URL to Time Series,პერიოდული შედარების URL
141,ka.mongoid.attributes.time_series.is_weighted,Weighted Data,შეწონილი მონაცემები
142,ka.mongoid.attributes.time_series.updated_at,Date Last Updated,ბოლო განახლების თარიღი
143,ka.mongoid.attributes.time_series_dataset.dataset_id,Dataset,მონაცემები
144,ka.mongoid.attributes.time_series_dataset.title,Label,იარლიყი
145,ka.mongoid.attributes.time_series_dataset.sort_order,Sort Order,დახარისხების წყობა
146,ka.mongoid.attributes.time_series_question.code,Question Code,შეკითხვის კოდი
147,ka.mongoid.attributes.time_series_question.original_code,Question Code,შეკითხვის კოდი
148,ka.mongoid.attributes.time_series_question.text,Question,შეკითხვა
149,ka.mongoid.attributes.time_series_question.notes,Notes,შენიშვნები
150,ka.mongoid.attributes.time_series_group.title,Name,სახელი
151,ka.mongoid.attributes.time_series_group.description,Description,აღწერა
152,ka.mongoid.attributes.time_series_group.include_in_charts,Include the Description in the Chart Titles?,დიაგრამის დასახელებებში ჩაიწეროს აღწერა?
153,ka.mongoid.attributes.time_series_group.codes,Questions in this Group,შეკითხვები ამ ჯგუფში
154,ka.mongoid.attributes.time_series_group.parent_id,This Group is a Subgroup of,ეს არის ქვეჯგუფი ჯგუფისა
155,ka.mongoid.attributes.time_series_group.sub_group,Subgroup,ქვეჯგუფი
156,ka.mongoid.attributes.time_series_weight.dataset_id,Dataset with Weight,შეწონილი მონაცემები
157,ka.mongoid.attributes.time_series_weight.code,Question with Weight,შეკითხვა შეწონვით
158,ka.mongoid.attributes.time_series_weight.text,Weight Name,შეწონვის სახელწოდება
159,ka.mongoid.attributes.time_series_weight.is_default,Is Default Weight?,არის ძირითადი შეწონვა?
160,ka.mongoid.attributes.time_series_weight.applies_to_all,Applies to All Questions,მიემართება ყველა შეკითხვას
161,ka.mongoid.attributes.time_series_weight.applies_to,Applies To,მიემართება
162,ka.mongoid.attributes.time_series_weight.all_questions,All Questions,ყველა შეკითხვა
163,ka.mongoid.attributes.time_series_weight.codes,Apply the Weight to the Following Questions,შეწონვა მიემართება შემდეგ შეკითხვებს
164,ka.mongoid.attributes.time_series_weight_assignment.dataset_id,Dataset,მონაცემები
165,ka.mongoid.attributes.time_series_weight_assignment.code_unique_id,Question with Unique Response IDs,შეკითხვა პასუხის უნიკალური ID-ებით
166,ka.mongoid.attributes.time_series_dataset_question.code,Question Code,შეკითხვის კოდი
167,ka.mongoid.attributes.time_series_dataset_question.text,Question,შეკითხვა
168,ka.mongoid.attributes.time_series_dataset_question.notes,Notes,შენიშვნები
169,ka.mongoid.attributes.time_series_dataset_question.dataset,Dataset,მონაცემები
170,ka.mongoid.attributes.time_series_answer.value,Value,მნიშვნელობა
171,ka.mongoid.attributes.time_series_answer.text,Answer,პასუხი
172,ka.mongoid.attributes.time_series_answer.can_exclude,Can Exclude During Analysis,შეუძლია ანალიზის დროს გამორიცხვა
173,ka.mongoid.attributes.time_series_answer.sort_order,Sort Order,დახარისხების წყობა
174,ka.mongoid.attributes.shapeset.title,Title,სახელწოდება
175,ka.mongoid.attributes.shapeset.description,Description,აღწერა
176,ka.mongoid.attributes.shapeset.source,Source of Shapeset,ფორმების ცხრილის წყარო
177,ka.mongoid.attributes.shapeset.source_url,URL to Souce,წყაროს URL
178,ka.mongoid.attributes.shapeset.shapefile,GeoJSON File,GeoJSON ფაილი
179,ka.mongoid.attributes.shapeset.languages,Languages of Shapeset,ფორმების ცხრილის ენა
180,ka.mongoid.attributes.shapeset.default_language,Default Language,ძირითადი ენა
181,ka.mongoid.attributes.shapeset.created_at,Added On,დამატებულია
182,ka.mongoid.attributes.api_version.permalink,Permalink,პერმალინკი
183,ka.mongoid.attributes.api_version.title,Title,სახელწოდება
184,ka.mongoid.attributes.api_version.public,Make Available to the Public,გავხადოთ საჯაროდ ხელმისაწვდომი
185,ka.mongoid.attributes.api_version.public_at,Released At,გამოქვეყნებულია
186,ka.mongoid.attributes.api_version.updated_at,Last Updated At,ბოლო განახლება
187,ka.mongoid.attributes.api_version.methods,Methods,მეთოდები
188,ka.mongoid.attributes.api_method.permalink,Permalink,პერმალინკი
189,ka.mongoid.attributes.api_method.title,Title,სახელწოდება
190,ka.mongoid.attributes.api_method.content,Content,კონტენტი
191,ka.mongoid.attributes.api_method.public,Make Available to the Public,გავხადოთ საჯაროდ ხელმისაწვდომი
192,ka.mongoid.attributes.api_method.public_at,Released At,გამოქვეყნებულია
193,ka.mongoid.attributes.api_method.updated_at,Last Updated At,ბოლო განახლება
194,ka.mongoid.attributes.api_method.sort_order,Sort Order,დახარისხების წყობა
195,ka.mongoid.attributes.api_request.api_key_id,API Key ID,API-ის გასაღების ID
196,ka.mongoid.attributes.api_request.user_id,User ID,მომხმარებლის ID
197,ka.mongoid.attributes.api_request.user_name,Name,სახელი
198,ka.mongoid.attributes.api_request.dataset_id,Dataset ID,მონაცემების ID
199,ka.mongoid.attributes.api_request.dataset_title,Dataset,მონაცემები
200,ka.mongoid.attributes.api_request.time_series_id,Time Series ID,პერიოდული შედარების ID
201,ka.mongoid.attributes.api_request.time_series_title,Time Series,პერიოდული შედარება
202,ka.mongoid.attributes.api_request.ip_address,IP Address,IP მისამართი
203,ka.mongoid.attributes.api_request.locale,API Locale,API ადგილი
204,ka.mongoid.attributes.api_request.api_version,API Version,API ვერსია
205,ka.mongoid.attributes.api_request.action,API Action,API ქმედება
206,ka.mongoid.attributes.api_request.question_code,Question Code,შეკითხვის კოდი
207,ka.mongoid.attributes.api_request.broken_down_by_code,Broken Down By Code,ჩაშლილია კოდით
208,ka.mongoid.attributes.api_request.filtered_by_code,Filtered By Code,გაფილტრულია კოდით
209,ka.mongoid.attributes.api_request.can_exclude,Can Exclude,შეუძლია გამორიცხვა
210,ka.mongoid.attributes.api_request.with_title,With Title,სახელწოდებით
211,ka.mongoid.attributes.api_request.with_chart_data,With Chart Data,დიაგრამით
212,ka.mongoid.attributes.api_request.with_map_data,With Map Data,რუკით
213,ka.mongoid.attributes.api_request.browser,Browser,ბრაუზერი
214,ka.mongoid.attributes.api_request.version,Browser Version,ბრაუზერის ვერსია
215,ka.mongoid.attributes.api_request.os,OS,OS
216,ka.mongoid.attributes.api_request.platform,OS Platform,OS პლატფორმა
217,ka.mongoid.attributes.api_request.app,App,App
218,ka.mongoid.attributes.api_request.is_mobile,Is Mobile Device?,მობილური მოწყობილობაა?
219,ka.mongoid.attributes.api_request.created_at,Date,თარიღი
220,ka.mongoid.attributes.api_key.key,Access Token,დაშვების გასაღები
221,ka.mongoid.attributes.api_key.created_at,Date Created,შექმნის თარიღი
222,ka.mongoid.attributes.category.name,Name,სახელი
223,ka.mongoid.attributes.category.permalink,URL to Category,ბმული
224,ka.mongoid.attributes.category.sort_order,Sort Order,დახარისხების წყობა
225,ka.mongoid.hints.dataset.title,The title of your dataset,თქვენი მონაცემების სახელწოდება
226,ka.mongoid.hints.dataset.description,Explain what your dataset is about,"აღწერეთ, რაზეა თქვენი მონაცემები"
227,ka.mongoid.hints.dataset.methodology,Explain how the data in the dataset was collected,"აღწერეთ, როგორ იქნა შეგროვებული მონაცემები"
228,ka.mongoid.hints.dataset.source,Who collected this data,ვინ შეაგროვა მონაცემები
229,ka.mongoid.hints.dataset.source_url,"URL to the Source's website. Please include the http as part of the url (e.g., http://source.com)","წყაროს ვებგვერდის URL. გთხოვთ, გამოიყენით http როგორც url-ის ნაწილი (მაგ. http://source.com)"
230,ka.mongoid.hints.dataset.datafile,"Only sav, dta, csv, xls, xlsx formats are allowed","დასაშვებია მხოლოდ sav, dta, csv, xls, xlsx ფორმატები"
231,ka.mongoid.hints.dataset.datafile_read_only,"At this time, you cannot load a new datafile to add or replace existing information",ამ დროისთვის არ შეგიძლიათ მონაცემთა ახალი ფაილის ატვირთვა ახლის დასამატებლად ან ძველის ჩანასაცვლებლად
232,ka.mongoid.hints.dataset.codebook,"Only txt, pdf, doc, docx formats are allowed","დასაშვებია მხოლოდ txt, pdf, doc, docx ფორმატები"
233,ka.mongoid.hints.dataset.released_at,Date the dataset was released to the public,მონაცემების საჯაროდ გამოქვეყნების თარიღი
234,ka.mongoid.hints.dataset.start_gathered_at,Date the data gathering process began,მონაცემების შეგროვების დაწყების თარიღი
235,ka.mongoid.hints.dataset.end_gathered_at,Date the data gathering process finished,მონაცემების შეგროვების დასრულების თარიღი
236,ka.mongoid.hints.dataset.public,Select 'Yes' to make your dataset available to the world,"მონიშნეთ 'დიახ', რათა თქვენი მონაცემები საჯაროდ ხელმისაწვდომი გახდეს"
237,ka.mongoid.hints.dataset.languages,"Even though your dataset may be in one language, you can use these forms to translate all of the questions and answers into any language you desire.","იმ შემთხვევაშიც კი, თუ თქვენი მონაცემები მხოლოდ ერთ ენაზეა, თქვენ შეგიძლიათ ამ ფორმების გამოყენება, რათა თარგმნოთ ყველა შეკითხვა და პასუხი თქვენთვის სასურველ ნებისმიერ ენაზე"
238,ka.mongoid.hints.dataset.default_language,The dataset language that is shown by default if no specific language is requested by user,"მონაცემების ძირითადი ენა, თუ მომხმარებლის მიერ არ არის მოთხოვნილი რომელიმე სხვა ენა "
239,ka.mongoid.hints.dataset.category_ids,Assign the dataset to one or more categories,მიაკუთვნეთ მონაცემები ერთ ან მეტ კატეგორიას
240,ka.mongoid.hints.dataset.permalink,"An abbreviated name of the dataset that you want to appear in the URL (e.g., 'wms' for 'Welfare Monitoring Survey'). All special characters will be automatically removed.","მონაცემების შემოკლებული სახელი, რომელიც გსურთ, რომ გამოჩნდეს URL-ში (მაგალითად, 'wms', რაც აღნიშნავს 'Welfare Monitoring Survey'-ის). ყველა სპეციალური სიმბოლო ავტომატურად წაიშლება."
241,ka.mongoid.hints.shapeset.title,The title of your shapeset,სახელწოდება ფორმების კრებულისთვის
242,ka.mongoid.hints.shapeset.description,Short summary of what is in the shapeset,ფორმების ცხრილის შინაარსის მოკლე აღწერა
243,ka.mongoid.hints.shapeset.source,Who put the shapeset together,ვინ შეადგინა რუკის კონტურული ფორმები
244,ka.mongoid.hints.shapeset.source_url,"URL to the Source's website. Please include the http as part of the url (e.g., http://source.com)","წყაროს ვებგვერდის URL. გთხოვთ, გამოიყენით http როგორც url-ის ნაწილი (მაგ. http://source.com)"
245,ka.mongoid.hints.shapeset.shapefile,Only json and geojson formats are allowed,დასაშვებია მხოლოდ json და geojson ფორმატები
246,ka.mongoid.hints.shapeset.languages,"Even though your shapeset may be in one language, you can use this form to translate all of the shapeset into any language you desire.","იმ შემთხვევაშიც კი, თუ თქვენი მონაცემები მხოლოდ ერთ ენაზეა, თქვენ შეგიძლიათ ამ ფორმების გამოყენება რათა თარგმნოთ ყველა შეკითხვა და პასუხი თქვენთვის სასურველ ნებისმიერ ენაზე"
247,ka.mongoid.hints.shapeset.default_language,The shapeset language that is used by default if no specific language is requested,"რუკის კონტურული ფორმების ძირითადი ენა, თუკი სხვა ენა არაა მოთხოვნილი"
248,ka.mongoid.hints.question.text,The text of the question,შეკითხვის ტექსტი
249,ka.mongoid.hints.question.notes,Any special notes about the question,სპეციფიკური შენიშვნა შეკითხვასთან დაკავშირებით
250,ka.mongoid.hints.question.exclude,"If selected, this question will not be available during analysis",მონიშვნის შემთხვევაში ეს შეკითხვა არ იქნება ხელმისაწვდომი ანალიზის დროს
251,ka.mongoid.hints.question.is_mappable,"If the question is mappable in nature, you can match the question to a shapeset and be able to analyize the question on a map","თუ შეკითხვის რუკაზე დატანა შესაძლებელია, შეგიძლიათ შეკითხვას შეუსაბამოთ რუკის კონტურული ფორმა და შესაძლებელი იქნება შეკითხვის რუკაზე გაანალიზება "
252,ka.mongoid.hints.question.can_download,"If selected, this question will be included in the data download available to the public","მონიშვნის შემთხვევაში ეს პასუხი იქნება მონაცემებში, რომლის ჩამოტვირთვა ყველას შეუძლია"
253,ka.mongoid.hints.question.is_weight,"If this question contains weight values, you can apply the weight to the dataset","თუ ეს შეკითხვა შეიცავს შეწონვას, შესაძლებელია იმავე შეწონვის მთლიან მონაცემზე გამოყენება "
254,ka.mongoid.hints.answer.value,The value of the answer,პასუხის მნიშვნელობა
255,ka.mongoid.hints.answer.text,The text of the answer,პასუხის ტექსტი
256,ka.mongoid.hints.answer.exclude,"If selected, this answer will not be available during analysis.",მონიშვნის შემთხვევაში ეს შეკითხვა არ იქნება ხელმისაწვდომი ანალიზის დროს
257,ka.mongoid.hints.answer.can_exclude,"If selected, this answer will be available during analysis, but can be turned off if desired by the user.","მონიშვნის შემთხვევაში ეს შეკითხვა იქნება ხელმისაწვდომი ანალიზის დროს, მაგრამ მომხმარებლის სურვილის შემთხვევაში ის შეიძლება გამოირთოს"
258,ka.mongoid.hints.answer.sort_order,The order the answers should appear,პასუხების გამოჩენის თანმიმდევრობა
259,ka.mongoid.hints.answer.default_text,This is the answer text from the default language which is provided to make it easier to complete the translation,"ეს არის პასუხის ტექსტი მთავარი ენიდან, რომელიც მოწოდებულია რათა თარგმანის გასაადვილებლად"
260,ka.mongoid.hints.group.title,The group name will appear in the codebook and on the explore page in the question drop-down lists,"ჯგუფის სახელწოდება გამოჩნდება კოდირების დოკუმენტში, მონაცემების გვერდზე და შეკითხვების ჩამოსაშლელ ჩამონათვალში "
261,ka.mongoid.hints.group.description,"The group description will appear in the codebook, on the explore page in the question drop-down lists and the chart titles, if desired.","ჯგუფის აღწერა გამოჩნდება კოდირების დოკუმენტში, მონაცემების გვერდზე, შეკითხვების ჩამოსაშლელ ჩამონათვალში და დიაგრამების სათაურებში, სურვილის შემთხვევაში. "
262,ka.mongoid.hints.group.include_in_charts,"If selected, the group description will appear in the title of the charts. The Description will then be required.",მონიშვნის შემთხვევაში ჯგუფის აღწერა გამოჩნდება დიაგრამების სათაურებში. ამ შემთხვევაში აღწერა სავალდებულოა.
263,ka.mongoid.hints.group.codes,Select the questions that belong in this group,"მონიშნეთ შეკითხვები, რომლებიც ამ ჯგუფს მიეკუთვნებიან "
264,ka.mongoid.hints.group.parent_id,Use this to indicate that this group belongs to another group,"გამოიყენეთ იმის საჩვენებლად, რომ ეს ჯგუფი სხვა ჯგუფს ეკუთვნის"
265,ka.mongoid.hints.weight.code,The question that contains the weight values,"შეკითხვა, რომელიც შეიცავს შეწონვის მნიშვნელობებს"
266,ka.mongoid.hints.weight.text,"A label for the weight - this will be visible to the public during analysis (e.g., Individual, Household, etc)","აღნიშვნა შეწონვისთვის - იქნება საჯარო ანალიზის დროს (მაგ., ინდივიდი, შინამეურნეობა, ა.შ.) "
267,ka.mongoid.hints.weight.is_default,"If selected, this will be the weight that is applied to all questions during analysis by default if no weight is indicated","მონიშვნის შემთხვევაში ეს შეწონვა მიემართება ყველა შეკითხვას ანალიზის დროს, თუ შეწონვა არ იქნება მითითებული"
268,ka.mongoid.hints.weight.applies_to_all,"If selected, all questions will be assigned to this weight",მონიშვნის შემთხვევაში ყველა შეკითხვას მიენიჭება ეს შეწონვა
269,ka.mongoid.hints.weight.codes,Select the questions that you want to have this weight applied to,"მონიშნეთ შეკითხვები, რომელთაც გინდათ მიანიჭოთ ეს შეწონვა"
270,ka.mongoid.hints.report.title,The title of the report,ანგარიშის სახელწოდება
271,ka.mongoid.hints.report.file,"The report file in pdf, doc, odt or txt format","ანგარიშის ფაილი pdf, doc, odt ან txt ფორმატში"
272,ka.mongoid.hints.report.released_at,Date the report was released to the public,ანგარიშის გამოქვეყნების თარიღი
273,ka.mongoid.hints.report.language_id,The language the report is written in,ანგარიშის ენა
274,ka.mongoid.hints.report.summary,A brief summary of the report,ანგარიშის მოკლე აღწერა
275,ka.mongoid.hints.mappable.question,Select the question that you want to have the answers appear on a map during analysis.,"მონიშნეთ შეკითხვა,რომლის პასუხიც გსურთ, გამოჩნდეს რუკაზე ანალიზის დროს"
276,ka.mongoid.hints.mappable.shapeset,Select the shapeset to use for this question.,მონიშნეთ რუკის კონტურული ფორმები ამ შეკითხვისთვის
277,ka.mongoid.hints.time_series.title,The title of your time series,პერიოდული შედარების დასახელება
